,date,category,title,amount
4,2024-07-22,viagem,Autoban,11.4
7,2024-07-21,viagem,Autoban,13.0
8,2024-07-21,viagem,Autoban,12.8
10,2024-07-20,supermercado,Lojas Americanas,9.99
15,2024-07-19,transporte,Uber *Uber *Trip,8.93
16,2024-07-19,viagem,Autoban,13.0
17,2024-07-19,viagem,Autoban,12.8
21,2024-07-16,viagem,Autoban,11.4
29,2024-07-10,viagem,Autoban,12.8
30,2024-07-10,viagem,Autoban,11.4
34,2024-07-10,viagem,Autoban,13.0
59,2024-06-29,outros,Amazonprimebr,19.9
62,2024-06-28,viagem,Autoban,12.2
63,2024-06-28,viagem,Autoban,12.4
67,2024-06-26,outros,Sesc,15.0
